Location,Price Tier
Addison,4
Alamo Ranch,3
Albany,4
Albuquerque,3
Allen,4
Allentown,3
Alliance,3
Alliance Roast,0
Anaheim Hills,6
Arbor Walk,3
Arcadia,6
Arden Fair,6
Arlington,3
Arlington Roast,0
Aurora,5
Avon,2
Bakersfield,5
Balboa,0
Baton Rouge,2
Beavercreek,2
Bloomington,2
Boulder,5
Bowie,6
Brea,7
Brea Roast,0
Brentwood,7
Burbank,6
Canton,2
Carlsbad,7
Cary,4
Cedar Park,3
Centennial,4
Century City,0
Cerritos,6
Chandler,5
Charlottesville,4
Chino Hills,5
Chino Hills Roast,0
Chula Vista,5
Citrus Park,3
Clear Lake,3
Clear Lake Roast,0
Clearwater,3
College Station,2
Colorado Springs,5
Columbia,7
Columbiana Station,3
Concord,7
Coral Springs,3
Corona,5
Corona Roast,0
Corpus Christi,3
Cottonwood Mall,3
Culver City,7
Culver City Roast,0
Cupertino,9
Dayton,2
Daytona,3
Del Amo,6
Del Amo Roast,0
Del Amo Thighway,0
Denton,4
Denver West,5
Desert Ridge,5
Downey,6
Dublin,8
Easton Town Center,3
El Paso,2
Elk Grove,6
Escondido,5
Evansville,2
Fairlawn Summit Mall,2
Florence,2
Folsom,6
Fort Collins,5
Fort Myers,4
Fort Wayne,2
Frederick,7
Fredericksburg,5
Fresno,5
Gainesville,3
Glendale,6
Greenwood,2
Hagerstown,3
Henderson,4
Hillsboro,8
Hulen Mall,3
Hulen Mall Roast,0
Huntington Beach - Main St,7
Huntington Beach - Beach Blvd,7
Huntsville,3
Hurst,3
Hurst Roast,0
I-Drive,4
Irvine,7
Jacksonville North,3
Jacksonville,3
Jantzen Beach,8
Katy,3
Kissimmee,3
La Jolla,7
La Mesa,6
Lafayette,2
Laguna Beach,7
Laguna Hills,6
Laguna Hills Roast,0
Lake Buena Vista,4
Lancaster,3
Lansing,3
Laurel,6
Lewisville,4
Lewisville Roast,0
Lexington,2
Livonia,3
Longview,2
Lubbock,2
Manchester,4
McAllen,2
McCandless,3
Melbourne,3
Menifee,5
Mentor,3
Merrillville,3
Mesa,5
Mesquite,2
Miami Falls,4
Miami Int. Mall,4
Millenia Mall,3
Mission Valley,7
Mobile,3
Modesto,5
Montebello,5
Moreno Valley,5
Moreno Valley Roast,0
Murfreesboro,3
Nanuet,8
Natomas,6
New Braunfels,3
Newark,7
Newport News,4
Noblesville,2
Norman,1
North Attleboro,4
North Little Rock,3
North Olmsted,3
OKC Outlets,1
Oklahoma City,1
Orange Village,3
Outlets at Orange,7
Orange Outlets TWTH,0
Oviedo,3
Oxmoor Center,2
Oxnard,5
Oxnard Roast,0
Palm Beach,3
Palmdale,5
Pasadena,9
Pasadena Roast,0
Pearland,3
Pearland Roast,0
Pembroke Pines,3
Pensacola,3
Peoria,5
Pinellas Park,3
Plano,4
Polaris,3
Puente Hills,6
Puyallup,8
Rancho Cucamonga,5
Rancho Cucamonga Roast,0
Rancho Santa Margarita,7
RSM Roast,0
Redmond,9
Reno,5
Richmond,4
Rookwood,3
Roseville,6
Round Rock,3
Salinas,5
San Antonio,3
San Bernardino,5
San Bernardino Roast,0
San Bruno,8
San Jose,9
San Jose Marketcenter,9
San Mateo,9
San Rafael,8
Santa Rosa,9
Shackleford,3
Shenandoah,3
Shenandoah Roast,0
Slidell,2
South Hills,3
Southcenter,9
Southlake,3
Sparks,5
Sterling Heights,3
Stockton,5
Sugarland,3
Sugar Land Roast,0
Summerlin,4
Sunset Valley,3
Tacoma,8
Tallahassee,3
Taylor,3
Temecula,5
Temple,2
Test Lab,0
Paris,0
Test Lab Thighway,0
Teterboro,8
The Rim,3
Toledo,2
Toms River,8
Towson,7
Tri-County,3
Tucson Broadway,3
Tucson Oracle,3
Tulsa,1
Tuttle Crossing,3
Tyler,2
Virginia Gateway,6
Vacaville,6
Valencia,6
Valley River,7
Valley Stream,8
Victorville,5
Victorville Roast,0
Vienna,6
Waco,2
Warwick,4
Wesley Chapel,3
West Covina,6
West Covina Roast,0
Westlake ,7
Westlake Vilalge Roast,0
Westminster,5
Westwood,9
Wichita,2
Willowbrook,3
Willowbrook Roast,0
Winston Salem,4
Woodland Hills,9
Woodland Hills Roast,0
Youngstown,2
Concord Mills,4
Framingham,5
Live Oak,3
Orland Park,3
Las Vegas,4
Goodyear,5
Craig Road,4
